ID, Device, Mode, Trial Number, Block Number, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
3,MOOSE,TrackPoint,1,1,1,854,32,6.0,100,DOWN,191,18.0,false,8468,6575,4958,94,1799,-3,3,1,DOWN,2.0,12.0,408.0,1034.0,1911.0,1080.0,1661.0,4.331
3,MOOSE,TrackPoint,2,1,2,854,32,3.0,300,DOWN,423,18.0,true,6827,6271,2510,13,543,0,1,1,DOWN,1.0,324.0,667.0,487.0,1381.0,1080.0,1661.0,4.331
3,MOOSE,TrackPoint,3,1,3,854,32,6.0,200,UP,534,18.0,false,7143,6335,2991,152,656,-3,2,1,UP,1.0,429.493,395.5,525.0,963.0,1080.0,1661.0,4.331
3,MOOSE,TrackPoint,4,1,4,854,32,3.0,50,UP,515,18.0,true,4634,3983,2908,79,572,0,1,1,UP,1.0,453.0,415.5,504.0,887.0,1080.0,1661.0,4.331
3,MOOSE,TrackPoint,5,1,5,854,32,3.0,200,UP,25,18.0,false,5356,4512,539,163,681,7,1,1,UP,1.0,439.471,301.0,535.309,800.0,1080.0,1661.0,4.331
3,MOOSE,TrackPoint,6,1,6,854,32,3.0,100,UP,384,18.0,true,6102,5440,2382,109,553,0,1,1,DOWN,1.0,454.0,356.645,535.0,839.0,1080.0,1661.0,4.331
3,MOOSE,TrackPoint,7,1,7,854,32,6.0,300,DOWN,711,18.0,true,7861,7183,2958,55,623,0,2,1,DOWN,1.0,377.0,592.0,497.0,1302.0,1080.0,1661.0,4.331
3,MOOSE,TrackPoint,8,1,8,854,32,6.0,50,DOWN,350,18.0,true,5082,4280,3100,38,764,1,1,1,DOWN,1.0,399.523,649.0,489.0,1189.0,1080.0,1661.0,4.331
3,MOOSE,TrackPoint,9,2,1,854,32,3.0,200,DOWN,818,18.0,false,7037,5776,3870,16,1245,-2,1,1,DOWN,1.0,397.0,555.0,523.0,1397.0,1080.0,1661.0,4.331
3,MOOSE,TrackPoint,10,2,2,854,32,3.0,50,DOWN,539,18.0,true,4970,4272,2668,70,628,0,1,1,UP,1.0,412.0,965.63,523.0,1334.5,1080.0,1661.0,4.331
3,MOOSE,TrackPoint,11,2,3,854,32,3.0,100,DOWN,655,18.0,true,5924,4976,2620,311,637,-1,1,1,DOWN,1.0,459.0,781.0,538.0,1219.0,1080.0,1661.0,4.331
3,MOOSE,TrackPoint,12,2,4,854,32,6.0,50,UP,167,18.0,false,3716,2735,1692,182,799,3,1,1,UP,1.0,498.0,495.0,540.0,1024.0,1080.0,1661.0,4.331
3,MOOSE,TrackPoint,13,2,5,854,32,6.0,200,DOWN,773,18.0,true,8632,7760,3616,46,826,-1,2,1,DOWN,1.0,440.0,759.0,543.0,1241.0,1080.0,1661.0,4.331
