ID, Device, Mode, ExpPart, Round, Trial, Block, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
17,MOOSE,iOS,1,1,1,1,1,854,32,6.0,50,DOWN,727,18.0,true,6030,3855,2125,27,2148,-1,2,1,UP,1.0,232.0,482.0,1079.0,1010.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,2,1,2,854,32,3.0,200,UP,70,18.0,true,4534,3665,1318,293,576,0,1,1,UP,1.0,385.414,563.0,514.0,1005.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,3,1,3,854,32,6.0,100,UP,162,18.0,true,5059,3983,479,367,709,0,2,2,UP,1.0,324.0,491.0,492.0,1089.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,4,1,4,854,32,3.0,100,UP,719,18.0,true,5249,4127,2217,584,538,-1,0,1,DOWN,1.0,394.0,502.0,511.0,1061.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,5,1,5,854,32,6.0,200,DOWN,308,18.0,true,6551,5712,2288,43,796,0,1,2,DOWN,1.0,368.0,504.0,535.0,1052.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,6,1,6,854,32,3.0,50,DOWN,583,18.0,true,3880,3167,1663,14,699,0,1,1,DOWN,1.0,391.0,536.0,495.455,1167.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,7,1,7,854,32,3.0,300,UP,203,18.0,true,7216,6415,2300,16,785,-1,1,1,DOWN,1.0,391.0,593.0,518.0,1100.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,8,1,8,854,32,6.0,300,DOWN,535,18.0,true,6338,5296,715,323,719,2,1,1,DOWN,1.0,410.0,557.0,564.0,1061.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,9,2,1,854,32,3.0,200,DOWN,268,18.0,true,5852,4882,1929,73,897,0,3,3,DOWN,1.0,246.0,519.0,525.0,1068.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,10,2,2,854,32,6.0,50,UP,495,18.0,true,3874,2991,1709,59,824,0,2,1,DOWN,1.0,392.0,582.0,527.0,1159.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,11,2,3,854,32,6.0,100,DOWN,809,18.0,true,3250,2272,974,52,926,0,2,1,DOWN,1.0,372.0,641.0,529.0,1067.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,12,2,4,854,32,3.0,300,DOWN,584,18.0,true,5244,4257,1294,393,594,0,1,1,DOWN,1.0,359.0,647.0,527.0,1116.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,13,2,5,854,32,6.0,300,UP,193,18.0,true,6251,4832,1360,370,1049,1,2,2,UP,1.0,332.0,583.0,550.0,1270.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,14,2,6,854,32,3.0,50,UP,81,18.0,true,3811,2976,1918,72,763,0,1,1,UP,1.0,415.0,660.0,543.0,1100.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,15,2,7,854,32,3.0,100,DOWN,518,18.0,true,5045,4064,2000,27,954,0,1,1,DOWN,1.0,346.0,640.0,558.0,1239.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,16,2,8,854,32,6.0,200,UP,586,18.0,true,4251,4163,1210,48,40,0,2,1,DOWN,1.0,409.0,543.0,562.0,1099.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,17,3,1,854,32,3.0,50,UP,521,18.0,true,4398,3153,1918,70,1175,0,1,1,UP,1.0,292.0,580.0,494.0,1053.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,18,3,2,854,32,6.0,50,DOWN,628,18.0,true,3285,2623,1327,12,650,0,1,1,DOWN,1.0,323.732,601.0,503.0,1183.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,19,3,3,854,32,3.0,200,UP,430,18.0,true,3964,2688,157,552,724,0,1,1,DOWN,1.0,401.0,646.0,492.0,1060.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,20,3,4,854,32,6.0,100,UP,671,18.0,true,3628,2832,988,31,765,1,2,1,UP,1.0,413.506,552.0,545.0,1034.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,21,3,5,854,32,6.0,200,DOWN,297,18.0,true,5650,5499,2047,99,52,-1,3,3,UP,1.0,348.0,529.0,569.0,1139.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,22,3,6,854,32,6.0,300,DOWN,745,18.0,true,4223,3456,1398,11,756,1,1,1,DOWN,1.0,328.0,585.0,518.0,1184.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,23,3,7,854,32,3.0,100,UP,59,18.0,true,4909,4033,1435,32,844,0,1,1,UP,1.0,367.421,525.0,483.0,1083.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,24,3,8,854,32,3.0,300,DOWN,793,18.0,true,4946,4749,1930,154,43,0,1,1,UP,1.0,364.0,534.0,525.0,1129.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,25,4,1,854,32,3.0,300,UP,326,18.0,true,6901,5632,1504,327,942,0,1,1,UP,1.0,269.0,481.0,599.0,1185.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,26,4,2,854,32,6.0,50,UP,417,18.0,true,3704,3105,1631,18,581,0,1,1,UP,1.0,352.0,479.0,516.0,1029.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,27,4,3,854,32,3.0,100,DOWN,796,18.0,true,3430,3303,1342,71,56,0,1,1,UP,1.0,392.0,536.0,617.0,1112.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,28,4,4,854,32,3.0,50,DOWN,662,18.0,true,3259,2482,1583,130,647,0,2,1,DOWN,1.0,433.0,662.0,593.0,1244.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,29,4,5,854,32,6.0,300,UP,318,18.0,true,8317,7472,2461,353,492,-2,3,1,UP,1.0,412.0,535.0,658.0,1253.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,30,4,6,854,32,6.0,200,UP,162,18.0,true,12060,10640,1409,134,1286,0,4,4,UP,1.0,364.0,467.0,765.0,1152.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,31,4,7,854,32,6.0,100,DOWN,559,18.0,true,3372,2624,1194,237,511,-1,2,1,UP,1.0,439.0,481.0,589.0,1037.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,1,32,4,8,854,32,3.0,200,DOWN,543,18.0,true,4568,3647,970,239,682,0,2,2,DOWN,1.0,316.0,620.0,555.0,1322.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,2,1,1,1,854,32,6.0,300,DOWN,538,18.0,true,4678,3743,1184,259,676,0,1,1,DOWN,1.0,239.0,593.0,426.0,1052.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,2,2,1,2,854,32,3.0,200,UP,190,18.0,true,6219,5326,1598,295,598,0,1,1,UP,1.0,248.0,473.5,428.0,1240.0,1080.0,1661.0,4.331,
17,MOOSE,iOS,1,2,3,1,3,854,32,3.0,50,UP,491,18.0,true,4811,4063,2367,201,547,0,1,1,DOWN,1.0,264.0,432.0,428.0,1108.0,1080.0,1661.0,4.331,
