ID, Device, Mode, ExpPart, Round, Trial, Block, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
13,MOOSE,Circle3,1,1,1,1,1,854,32,3.0,200,UP,456,18.0,true,27306,15856,1600,2566,8884,0,1,2,UP,1.0,0.0,597.0,475.0,1127.5,1080.0,1661.0,4.331,
13,MOOSE,Circle3,1,1,2,1,2,854,32,6.0,100,DOWN,148,18.0,true,13442,8431,2206,987,4024,1,1,1,DOWN,1.0,103.0,703.448,426.0,1137.0,1080.0,1661.0,4.331,
13,MOOSE,Circle3,1,1,3,1,3,854,32,3.0,100,DOWN,403,18.0,true,19160,16639,4591,1022,1499,0,2,2,UP,1.0,99.268,705.0,460.718,1181.0,1080.0,1661.0,4.331,
13,MOOSE,Circle3,1,1,4,1,4,854,32,6.0,200,UP,437,18.0,true,11637,9616,2144,742,1279,-1,1,1,DOWN,1.0,38.0,617.0,538.0,1166.0,1080.0,1661.0,4.331,
13,MOOSE,Circle3,1,1,5,1,5,854,32,6.0,300,UP,513,18.0,true,13030,11072,2112,711,1247,0,1,1,DOWN,1.0,54.0,619.0,532.694,1143.0,1080.0,1661.0,4.331,
13,MOOSE,Circle3,1,1,6,1,6,854,32,3.0,50,UP,755,18.0,true,6153,4208,2576,587,1358,0,1,1,UP,1.0,83.0,747.309,452.0,1125.0,1080.0,1661.0,4.331,
13,MOOSE,Circle3,1,1,7,1,7,854,32,3.0,300,DOWN,599,18.0,true,12229,9904,2336,1171,1154,-1,1,1,UP,1.0,65.984,766.0,463.0,1277.0,1080.0,1661.0,4.331,
13,MOOSE,Circle3,1,1,8,1,8,854,32,6.0,50,DOWN,67,18.0,true,6352,4449,2721,665,1238,0,1,1,UP,1.0,14.0,696.0,439.0,1125.645,1080.0,1661.0,4.331,
13,MOOSE,Circle3,1,1,9,2,1,854,32,6.0,100,UP,411,18.0,true,11584,5663,1951,617,5304,-1,1,1,UP,1.0,34.0,615.0,864.0,1062.0,1080.0,1661.0,4.331,
13,MOOSE,Circle3,1,1,10,2,2,854,32,3.0,50,DOWN,745,18.0,true,5844,3648,1472,1051,1145,0,1,1,UP,1.0,43.0,665.0,416.351,1184.0,1080.0,1661.0,4.331,
