ID, Device, Mode, ExpPart, Round, Trial, Block, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
10,MOOSE,Drag,1,1,1,1,1,854,32,3.0,100,DOWN,729,18.0,true,20682,7056,1937,985,12641,0,1,1,UP,1.0,282.0,725.0,1061.0,1186.5,1080.0,1661.0,4.331,
10,MOOSE,Drag,1,1,2,1,2,854,32,6.0,50,UP,503,18.0,true,5470,4271,1856,203,996,0,1,1,UP,1.0,509.485,809.0,607.0,1073.0,1080.0,1661.0,4.331,
10,MOOSE,Drag,1,1,3,1,3,854,32,3.0,50,UP,582,18.0,true,4248,3231,1406,164,853,0,1,1,UP,1.0,501.0,807.0,693.0,1064.0,1080.0,1661.0,4.331,
10,MOOSE,Drag,1,1,4,1,4,854,32,3.0,300,DOWN,373,18.0,true,12343,11552,2784,250,541,0,2,1,UP,1.0,403.0,845.0,594.0,1578.0,1080.0,1661.0,4.331,
10,MOOSE,Drag,1,1,5,1,5,854,32,6.0,300,UP,91,18.0,true,11290,10335,1265,186,769,0,1,1,UP,1.0,435.477,710.0,956.0,1399.0,1080.0,1661.0,4.331,
10,MOOSE,Drag,1,1,6,1,6,854,32,3.0,200,DOWN,394,18.0,true,8570,7808,1662,268,494,0,2,1,DOWN,1.0,492.0,890.0,726.0,1624.0,1080.0,1661.0,4.331,
10,MOOSE,Drag,1,1,7,1,7,854,32,6.0,200,DOWN,559,18.0,true,7872,6927,1647,195,750,0,1,1,DOWN,1.0,508.0,833.0,729.0,1705.0,1080.0,1661.0,4.331,
10,MOOSE,Drag,1,1,8,1,8,854,32,6.0,100,UP,258,18.0,true,4421,3455,1327,338,628,-1,1,1,UP,1.0,518.125,772.0,830.0,1438.0,1080.0,1661.0,4.331,
10,MOOSE,Drag,1,1,9,2,1,854,32,3.0,200,UP,155,18.0,true,10355,5888,1086,442,4025,0,1,1,UP,1.0,23.0,756.264,870.5,1380.0,1080.0,1661.0,4.331,
10,MOOSE,Drag,1,1,10,2,2,854,32,6.0,200,UP,179,18.0,true,8313,7407,1283,410,496,0,1,1,DOWN,1.0,494.0,646.468,997.0,1366.0,1080.0,1661.0,4.331,
10,MOOSE,Drag,1,1,11,2,3,854,32,6.0,50,DOWN,342,18.0,true,3817,2880,1681,232,705,-1,2,1,DOWN,1.0,599.0,761.0,700.0,1376.022,1080.0,1661.0,4.331,
10,MOOSE,Drag,1,1,12,2,4,854,32,6.0,300,DOWN,499,18.0,true,15344,14415,1312,360,569,0,2,1,DOWN,1.0,398.0,722.0,774.0,1751.0,1080.0,1661.0,4.331,
10,MOOSE,Drag,1,1,13,2,5,854,32,3.0,100,UP,542,18.0,true,4174,3392,1071,235,547,0,1,1,UP,1.0,472.0,681.5,860.0,1375.0,1080.0,1661.0,4.331,
10,MOOSE,Drag,1,1,14,2,6,854,32,3.0,300,UP,507,18.0,true,11960,11023,1856,267,670,0,1,1,UP,1.0,384.0,594.504,990.0,1404.0,1080.0,1661.0,4.331,
