ID, Device, Mode, Trial Number, Block Number, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
1,MOOSE,Drag,1,1,1,854,32,6.0,200,DOWN,423,18.0,true,6987,4959,831,487,1541,-1,1,1,DOWN,2.0,305.0,605.0,821.0,1040.0,1080.0,1661.0,4.331
1,MOOSE,Drag,2,1,2,854,32,3.0,200,DOWN,398,18.0,true,7647,6527,1120,423,697,0,1,1,DOWN,2.0,309.963,614.0,819.0,1087.0,1080.0,1661.0,4.331
1,MOOSE,Drag,3,1,3,854,32,6.0,300,UP,378,18.0,true,8563,7767,880,704,92,0,1,1,DOWN,2.0,347.0,620.0,823.0,1049.0,1080.0,1661.0,4.331
1,MOOSE,Drag,4,1,4,854,32,6.0,100,DOWN,731,18.0,true,3514,2400,544,387,727,-1,1,1,DOWN,2.0,366.0,609.0,423.0,1070.0,1080.0,1661.0,4.331
1,MOOSE,Drag,5,1,5,854,32,6.0,50,UP,426,18.0,true,2659,2413,1008,192,54,1,1,1,UP,2.0,348.0,629.0,461.5,1052.0,1080.0,1661.0,4.331
1,MOOSE,Drag,6,1,6,854,32,3.0,50,DOWN,197,18.0,true,3353,2792,880,486,75,0,0,1,UP,2.0,352.0,614.0,415.0,1084.0,1080.0,1661.0,4.331
1,MOOSE,Drag,7,1,7,854,32,3.0,100,UP,256,18.0,true,5559,3856,1184,663,1040,0,0,1,UP,2.0,373.448,625.0,476.0,1048.0,1080.0,1661.0,4.331
1,MOOSE,Drag,8,1,8,854,32,3.0,300,UP,149,18.0,true,8512,8115,1088,344,53,0,1,1,UP,2.0,349.0,633.0,492.0,1055.0,1080.0,1661.0,4.331
1,MOOSE,Drag,9,2,1,854,32,3.0,100,DOWN,379,18.0,true,3594,2144,416,588,862,0,0,1,DOWN,2.0,362.449,620.0,440.0,1044.0,1080.0,1661.0,4.331
1,MOOSE,Drag,10,2,2,854,32,6.0,50,DOWN,634,18.0,true,2875,1904,496,415,556,-2,1,1,DOWN,2.0,359.0,632.0,411.0,1062.0,1080.0,1661.0,4.331
1,MOOSE,Drag,11,2,3,854,32,3.0,300,DOWN,671,18.0,true,8137,7264,592,69,804,0,1,1,DOWN,2.0,334.0,620.0,424.0,1103.0,1080.0,1661.0,4.331
1,MOOSE,Drag,12,2,4,854,32,6.0,300,DOWN,540,18.0,true,9479,8966,1232,456,57,1,0,1,UP,2.0,328.535,626.0,438.0,1105.0,1080.0,1661.0,4.331
1,MOOSE,Drag,13,2,5,854,32,3.0,50,UP,352,18.0,true,4847,4273,1472,513,61,0,0,1,UP,2.0,368.0,635.0,481.0,989.0,1080.0,1661.0,4.331
1,MOOSE,Drag,14,2,6,854,32,6.0,200,UP,119,18.0,true,7895,6704,128,515,676,0,0,1,DOWN,2.0,371.0,633.0,496.0,1015.0,1080.0,1661.0,4.331
1,MOOSE,Drag,15,2,7,854,32,6.0,100,UP,707,18.0,true,4039,2864,1185,371,804,0,1,1,UP,2.0,355.0,649.0,475.0,1021.0,1080.0,1661.0,4.331
1,MOOSE,Drag,16,2,8,854,32,3.0,200,UP,626,18.0,true,8721,8589,2833,77,55,-1,1,1,UP,2.0,367.488,640.0,469.0,996.0,1080.0,1661.0,4.331
1,MOOSE,Drag,17,3,1,854,32,6.0,200,DOWN,670,18.0,true,6226,4320,401,403,1503,1,0,1,DOWN,2.0,326.0,633.0,839.5,1094.0,1080.0,1661.0,4.331
1,MOOSE,Drag,18,3,2,854,32,3.0,200,UP,140,18.0,true,4857,4286,79,539,32,0,0,1,UP,2.0,361.0,636.0,454.0,1006.0,1080.0,1661.0,4.331
1,MOOSE,Drag,19,3,3,854,32,3.0,300,DOWN,597,18.0,true,6287,5295,496,429,563,0,0,1,DOWN,2.0,337.0,628.0,420.0,1114.0,1080.0,1661.0,4.331
1,MOOSE,Drag,20,3,4,854,32,6.0,100,DOWN,329,18.0,true,3527,3029,256,455,43,-1,0,1,UP,2.0,355.0,637.0,418.0,1042.0,1080.0,1661.0,4.331
1,MOOSE,Drag,21,3,5,854,32,6.0,300,UP,197,18.0,true,7008,5712,0,601,695,-1,0,1,UP,2.0,352.0,643.0,467.0,1039.0,1080.0,1661.0,4.331
1,MOOSE,Drag,22,3,6,854,32,3.0,50,UP,481,18.0,true,4116,2752,1968,543,821,0,1,1,UP,2.0,375.0,643.0,458.0,1054.0,1080.0,1661.0,4.331
1,MOOSE,Drag,23,3,7,854,32,3.0,100,DOWN,306,18.0,true,4024,3539,992,454,31,0,1,1,UP,2.0,374.0,643.0,468.0,1049.0,1080.0,1661.0,4.331
1,MOOSE,Drag,24,3,8,854,32,6.0,50,UP,319,18.0,false,2637,1633,914,347,657,-3,2,1,UP,2.0,389.0,672.0,480.0,1008.0,1080.0,1661.0,4.331
