ID, Device, Mode, ExpPart, Round, Trial, Block, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
12,MOOSE,Rubbing,1,1,29,4,5,854,32,6.0,300,UP,15,18.0,true,8487,7391,1952,510,586,-1,1,1,UP,1.0,356.533,535.0,527.5,1276.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,1,30,4,6,854,32,6.0,50,DOWN,836,18.0,true,4255,3025,913,471,759,0,1,1,UP,1.0,325.891,621.0,420.0,1311.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,1,31,4,7,854,32,3.0,50,DOWN,148,18.0,true,4928,3200,1920,322,1406,0,1,1,DOWN,1.0,348.279,747.0,370.0,1599.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,1,32,4,8,854,32,6.0,100,UP,617,18.0,true,4880,3520,720,299,1061,0,1,1,DOWN,1.0,356.0,756.0,403.0,1392.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,1,1,1,854,32,3.0,300,UP,58,18.0,true,12128,9120,3073,594,2414,0,1,1,DOWN,1.0,273.399,547.5,407.712,1396.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,2,1,2,854,32,6.0,200,DOWN,284,18.0,true,5639,4639,1920,312,688,0,1,1,DOWN,1.0,345.0,641.0,420.616,1517.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,3,1,3,854,32,3.0,100,DOWN,587,18.0,true,4423,3039,1968,382,1002,0,1,1,DOWN,1.0,379.0,654.0,438.706,1254.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,4,1,4,854,32,3.0,50,UP,260,18.0,true,7690,6415,2112,427,848,0,1,2,UP,1.0,327.0,342.5,493.0,1355.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,5,1,5,854,32,6.0,300,UP,318,18.0,true,6249,5201,1456,220,828,0,1,1,DOWN,1.0,290.804,564.0,394.0,1263.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,6,1,6,854,32,6.0,100,UP,23,18.0,true,5931,4896,2272,139,896,1,1,1,DOWN,1.0,244.5,457.0,390.494,1371.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,7,1,7,854,32,3.0,200,DOWN,419,18.0,true,6767,5278,1389,795,694,0,1,1,DOWN,1.0,303.0,516.0,425.0,1524.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,8,1,8,854,32,6.0,50,DOWN,629,18.0,true,4212,3231,1455,385,596,0,1,1,UP,1.0,343.0,527.0,460.0,1268.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,9,2,1,854,32,6.0,100,DOWN,818,18.0,true,4155,2977,799,158,1020,1,1,1,UP,1.0,304.0,501.0,1057.0,1401.066,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,10,2,2,854,32,3.0,300,DOWN,567,18.0,true,10711,9792,4673,422,497,0,2,2,DOWN,1.0,378.0,629.0,529.0,1195.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,11,2,3,854,32,6.0,50,UP,463,18.0,true,3742,2832,1535,225,685,0,1,1,UP,1.0,348.0,768.0,436.097,1118.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,12,2,4,854,32,3.0,200,UP,280,18.0,true,10461,9472,1409,366,623,0,1,2,DOWN,1.0,336.703,699.0,579.0,1698.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,13,2,5,854,32,6.0,300,DOWN,568,18.0,true,12506,11234,1921,304,968,0,2,3,DOWN,1.0,336.0,413.0,494.084,1320.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,2,14,2,6,854,32,3.0,50,DOWN,759,18.0,true,8082,6721,4257,482,879,0,2,2,DOWN,1.0,327.0,470.0,484.0,1096.0,1080.0,1661.0,4.331,
