ID, Device, Mode, Trial Number, Block Number, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, (T) Trial, (T) Scroll, (T) Fine Tune, (T) Select, (T) Start Scroll, Distance from middle (lines), #Target in frame, #Target visible, Start direction, Finger count, Finger positions X-MIN, Finger positions Y-MIN, Finger positions X-MAX, Finger positions Y-MAX, Scroll area size X, Scroll area size Y, Pixels per mm (of PC)  
21,MOOSE,iOS,1,1,1,854,32,6.0,170,UP,514,18.0,true,7823,3584,1653,110,4129,2,2,1,UP,1.0,403.0,446.0,755.6561279296875,1045.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,2,1,2,854,32,6.0,220,DOWN,584,18.0,true,5484,4528,2301,206,750,1,1,1,DOWN,1.0,533.0,571.0,606.0,1160.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,3,1,3,854,32,3.0,170,DOWN,770,18.0,true,9904,9233,5848,33,638,1,2,1,DOWN,1.0,530.0,608.0,614.0,1088.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,4,1,4,854,32,3.0,70,DOWN,290,18.0,true,4311,2543,398,936,832,-1,1,1,DOWN,1.0,509.0,594.0,583.0,1122.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,5,1,5,854,32,3.0,220,UP,28,18.0,true,5036,3608,1253,710,718,0,1,1,DOWN,1.0,494.0,667.0,640.0,1177.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,6,1,6,854,32,6.0,20,UP,361,18.0,true,4441,3280,2815,103,1058,0,2,1,UP,1.0,511.0,617.0,575.0,1132.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,7,1,7,854,32,3.0,20,DOWN,119,18.0,true,4316,3521,3409,14,781,0,2,1,DOWN,1.0,497.0,582.0,586.0,1159.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,8,1,8,854,32,6.0,170,DOWN,255,18.0,false,5849,3408,-4,9,2432,-16,1,2,DOWN,1.0,465.0,546.0,565.0,1274.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,9,1,9,854,32,3.0,70,UP,588,18.0,true,4124,2848,1321,192,1084,0,2,1,UP,1.0,432.0,687.0,590.0,982.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,10,1,10,854,32,3.0,120,DOWN,142,18.0,true,3550,3377,1600,129,44,0,1,1,DOWN,1.0,488.52349853515625,528.0,540.0,1130.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,11,1,11,854,32,3.0,170,UP,400,18.0,true,4237,3408,1653,174,655,0,1,1,DOWN,1.0,486.3369140625,681.0,607.0,1141.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,12,1,12,854,32,6.0,120,UP,417,18.0,true,3003,2363,133,581,59,-1,1,1,DOWN,1.0,507.0,585.0,625.0,1118.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,13,1,13,854,32,3.0,120,UP,435,18.0,true,19510,18095,11069,763,652,0,2,3,DOWN,1.0,482.0,596.0,608.0,1205.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,14,1,14,854,32,6.0,220,UP,383,18.0,true,7654,6720,1689,144,790,0,2,2,UP,1.0,464.5165100097656,667.0,614.0,1284.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,15,1,15,854,32,3.0,20,UP,378,18.0,true,2889,2523,1696,302,64,0,1,1,DOWN,1.0,497.0,689.0,572.0,1089.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,16,1,16,854,32,6.0,20,DOWN,60,18.0,true,3229,1743,1631,535,951,1,0,1,DOWN,1.0,501.2667541503906,707.0,555.0,1248.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,17,1,17,854,32,6.0,120,DOWN,789,18.0,true,6895,6240,2671,134,521,-1,2,1,DOWN,1.0,507.0,597.0,588.0,1200.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,18,1,18,854,32,6.0,70,DOWN,683,18.0,true,5224,4383,2781,75,766,0,1,1,DOWN,1.0,502.0,663.0,598.0,1254.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,19,1,19,854,32,3.0,220,DOWN,709,18.0,true,4537,3824,2134,141,572,0,1,1,DOWN,1.0,470.0,669.0,568.0,1271.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,20,1,20,854,32,6.0,70,UP,450,18.0,true,3531,3099,667,388,44,2,1,1,DOWN,1.0,484.0,763.0,552.0,1187.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,21,2,1,854,32,6.0,20,DOWN,393,18.0,true,2094,1183,1007,12,899,0,1,1,DOWN,1.0,511.51776123046875,684.0,532.0,1048.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,22,2,2,854,32,6.0,70,DOWN,472,18.0,true,7743,6927,5421,159,657,0,1,1,DOWN,1.0,471.0,642.0,557.0,1149.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,23,2,3,854,32,6.0,220,DOWN,819,18.0,true,7037,5968,1848,323,746,1,1,1,UP,1.0,451.0,613.0,612.0,1238.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,24,2,4,854,32,3.0,120,UP,34,18.0,true,4960,4024,1977,899,37,1,1,1,UP,1.0,524.0,652.0,634.0,1206.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,25,2,5,854,32,3.0,20,UP,733,18.0,false,2825,1727,1626,10,1088,-4,2,1,UP,1.0,573.0,817.0,618.0,1130.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,26,2,6,854,32,3.0,70,DOWN,287,18.0,true,5660,4944,2813,20,696,0,2,1,DOWN,1.0,533.0,696.0,620.0,1097.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,27,2,7,854,32,3.0,170,DOWN,377,18.0,true,13821,12448,1227,699,674,0,3,4,DOWN,1.0,479.0,581.0,588.0,1279.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,28,2,8,854,32,6.0,20,UP,56,18.0,true,2701,1344,1226,463,894,-2,2,1,UP,1.0,543.0,825.0,611.0,1085.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,29,2,9,854,32,3.0,120,DOWN,190,18.0,true,8394,7439,4445,335,620,0,1,1,DOWN,1.0,514.0,706.0,612.0,1218.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,30,2,10,854,32,6.0,170,DOWN,350,18.0,true,11696,10383,5948,473,840,0,2,2,DOWN,1.0,540.0,709.0,665.0,1161.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,31,2,11,854,32,3.0,170,UP,533,18.0,true,5826,4384,1359,489,953,0,3,2,UP,1.0,537.0,610.0,708.0,1120.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,32,2,12,854,32,6.0,120,UP,304,18.0,true,4673,3631,444,358,684,-1,1,1,UP,1.0,532.5361938476562,820.0,610.0,1187.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,33,2,13,854,32,6.0,120,DOWN,756,18.0,true,5018,3920,623,342,756,-1,1,1,DOWN,1.0,481.0,743.0,601.0,1333.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,34,2,14,854,32,3.0,220,UP,500,18.0,true,7819,6497,2127,362,960,0,3,2,UP,1.0,505.4969787597656,595.0,643.0,1123.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,35,2,15,854,32,6.0,220,UP,588,18.0,true,5213,4143,1390,415,655,0,1,1,DOWN,1.0,510.0,757.0,627.0,1199.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,36,2,16,854,32,3.0,20,DOWN,751,18.0,true,8678,7295,6336,423,960,0,2,2,DOWN,1.0,529.0,613.0,614.0,1179.0,1080.0,1163.0,4.330708661417323
21,MOOSE,iOS,37,2,17,854,32,3.0,220,DOWN,832,18.0,true,5498,4432,1740,160,906,-1,1,1,UP,1.0,470.0,622.0,635.0,1265.0,1080.0,1163.0,4.330708661417323
