ID, Device, Mode, ExpPart, Round, Trial, Block, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
16,MOOSE,TrackPoint,1,1,1,1,1,854,32,6.0,200,DOWN,547,18.0,true,39176,19585,1887,1348,18243,1,3,3,DOWN,1.0,274.561,339.0,1050.5,1919.969,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,2,1,2,854,32,6.0,100,DOWN,166,18.0,true,11596,4289,2622,475,6832,1,2,1,DOWN,1.0,377.0,638.0,482.0,1270.5,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,3,1,3,854,32,3.0,100,UP,701,18.0,true,9281,7633,5004,807,841,1,3,1,UP,1.0,278.0,619.5,379.0,1305.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,4,1,4,854,32,3.0,200,DOWN,524,18.0,true,6921,5489,1883,437,995,0,2,1,DOWN,1.0,255.5,774.0,367.0,1578.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,5,1,5,854,32,6.0,300,DOWN,508,18.0,true,6979,5680,2750,148,1151,0,2,1,DOWN,1.0,276.0,695.0,391.0,1415.5,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,6,1,6,854,32,3.0,300,UP,61,18.0,true,10658,10126,1438,463,69,0,3,2,UP,1.0,264.288,502.0,419.0,1528.415,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,7,1,7,854,32,3.0,50,UP,543,18.0,true,4084,2769,1692,524,791,0,1,1,UP,1.0,307.0,775.0,361.0,1180.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,8,1,8,854,32,6.0,50,UP,385,18.0,true,3314,1759,558,844,711,2,1,1,UP,1.0,304.0,797.644,344.0,1192.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,9,2,1,854,32,6.0,100,UP,420,18.0,true,8508,4832,574,724,2952,0,2,2,DOWN,1.0,301.0,444.5,463.0,1298.331,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,10,2,2,854,32,6.0,300,UP,515,18.0,true,5684,4335,496,658,691,2,1,1,UP,1.0,274.0,442.5,399.0,1175.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,11,2,3,854,32,3.0,300,DOWN,797,18.0,true,6430,5392,2748,250,788,-1,1,1,DOWN,1.0,284.0,633.0,403.0,1369.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,12,2,4,854,32,3.0,200,UP,588,18.0,true,4702,3151,252,663,888,-1,1,1,UP,1.0,277.0,475.0,390.0,1271.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,13,2,5,854,32,3.0,100,DOWN,132,18.0,true,4506,4306,2542,154,46,0,2,1,UP,1.0,261.0,663.0,356.0,1312.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,14,2,6,854,32,3.0,50,DOWN,191,18.0,true,3449,2352,1421,363,734,0,1,1,DOWN,1.0,257.0,938.0,319.0,1361.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,15,2,7,854,32,6.0,50,DOWN,707,18.0,true,8472,7696,3279,266,510,0,4,2,UP,1.0,263.0,577.0,424.0,1500.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,16,2,8,854,32,6.0,200,UP,52,18.0,true,6623,5489,1695,356,778,1,1,1,UP,1.0,341.0,522.0,411.0,1224.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,17,3,1,854,32,3.0,300,UP,164,18.0,true,8766,6016,2458,506,2244,0,1,1,UP,1.0,347.0,543.664,552.0,1374.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,18,3,2,854,32,6.0,300,UP,304,18.0,true,5179,4448,1563,93,638,0,1,1,UP,1.0,381.0,506.5,529.0,1251.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,19,3,3,854,32,3.0,100,UP,508,18.0,true,4736,3906,2699,243,587,0,2,1,DOWN,1.0,381.5,514.0,483.0,1202.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,20,3,4,854,32,6.0,200,DOWN,420,18.0,true,4229,3828,640,341,60,0,1,1,UP,1.0,327.0,493.0,407.0,1287.5,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,21,3,5,854,32,6.0,100,DOWN,589,18.0,true,4065,2671,1644,462,932,1,1,1,DOWN,1.0,337.0,478.0,422.0,1195.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,22,3,6,854,32,3.0,50,DOWN,483,18.0,true,4624,3824,2909,26,774,0,3,1,DOWN,1.0,377.0,479.0,426.0,1103.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,23,3,7,854,32,6.0,50,UP,267,18.0,true,2655,2266,477,342,47,-1,1,1,UP,1.0,355.0,673.0,410.0,1075.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,24,3,8,854,32,3.0,200,DOWN,773,18.0,true,4847,3792,623,476,579,0,1,1,DOWN,1.0,336.0,556.0,403.0,1196.48,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,25,4,1,854,32,6.0,50,DOWN,608,18.0,true,6118,5980,1550,103,35,1,1,2,DOWN,1.0,343.237,513.0,489.437,1244.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,26,4,2,854,32,6.0,300,DOWN,550,18.0,true,5451,4993,441,412,46,0,1,1,UP,1.0,328.5,609.0,445.0,1244.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,27,4,3,854,32,6.0,100,UP,118,18.0,true,4086,3376,2111,124,586,0,1,1,UP,1.0,328.0,627.519,428.0,1234.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,28,4,4,854,32,3.0,200,UP,611,18.0,true,6534,5856,2333,169,509,0,2,1,DOWN,1.0,289.0,303.5,552.0,1364.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,29,4,5,854,32,3.0,100,DOWN,463,18.0,true,5135,4450,2561,39,646,-1,1,1,DOWN,1.0,432.0,405.0,542.0,1061.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,30,4,6,854,32,6.0,200,UP,412,18.0,true,5092,3760,1418,441,891,2,1,1,UP,1.0,445.0,387.0,538.0,1061.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,31,4,7,854,32,3.0,300,DOWN,328,18.0,true,4539,3537,1245,116,886,0,2,1,DOWN,1.0,386.0,463.0,522.0,1284.5,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,1,32,4,8,854,32,3.0,50,UP,710,18.0,true,2988,2016,1354,156,816,0,1,1,UP,1.0,386.0,504.0,484.0,1116.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,2,1,1,1,854,32,6.0,50,DOWN,673,18.0,true,8376,4384,1102,285,3707,1,2,2,UP,1.0,254.0,533.0,492.0,1431.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,2,2,1,2,854,32,3.0,200,UP,557,18.0,true,4677,3681,897,314,682,0,1,1,UP,1.0,250.0,641.0,344.0,1383.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,2,3,1,3,854,32,3.0,300,DOWN,686,18.0,true,6144,5456,1999,148,540,0,1,1,DOWN,1.0,225.0,658.0,363.0,1511.339,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,2,4,1,4,854,32,6.0,200,DOWN,783,18.0,true,5640,4864,1687,211,565,2,1,1,UP,1.0,249.0,406.5,406.714,1550.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,2,5,1,5,854,32,3.0,100,DOWN,357,18.0,true,5166,4368,1625,201,597,0,3,2,UP,1.0,257.5,749.0,380.0,1437.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,2,6,1,6,854,32,3.0,50,UP,688,18.0,true,3303,2432,1564,55,816,0,1,1,UP,1.0,293.0,743.0,361.0,1289.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,2,7,1,7,854,32,6.0,100,UP,420,18.0,true,3699,3538,1166,102,59,-2,1,1,UP,1.0,309.0,636.0,376.706,1276.0,1080.0,1661.0,4.331,
16,MOOSE,TrackPoint,1,2,8,1,8,854,32,6.0,300,UP,409,18.0,true,5276,4481,2368,15,780,0,1,1,UP,1.0,263.478,637.0,413.0,1467.0,1080.0,1661.0,4.331,
