ID, Device, Mode, Trial Number, Block Number, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
7,MOOSE,Drag,1,1,1,854,32,6.0,170,UP,641,18.0,true,8119,6657,624,141,1321,1,1,1,UP,2.0,307.0,664.0,852.0,1017.0,1080.0,1661.0,4.33
7,MOOSE,Drag,2,1,2,854,32,3.0,70,UP,455,18.0,true,4314,2849,1104,416,1049,0,0,1,UP,2.0,413.0,678.0,785.0,1022.0,1080.0,1661.0,4.33
7,MOOSE,Drag,3,1,3,854,32,3.0,170,UP,398,18.0,true,6273,5344,848,322,607,0,1,1,UP,2.0,423.0,679.0,791.0,1040.0,1080.0,1661.0,4.33
7,MOOSE,Drag,4,1,4,854,32,6.0,120,DOWN,767,18.0,true,5696,4401,1680,348,947,1,1,1,DOWN,2.0,413.23,653.0,544.0,1146.0,1080.0,1661.0,4.33
7,MOOSE,Drag,5,1,5,854,32,6.0,220,DOWN,305,18.0,true,8433,7927,896,421,85,0,1,1,DOWN,2.0,375.0,652.0,792.0,1131.0,1080.0,1661.0,4.33
7,MOOSE,Drag,6,1,6,854,32,6.0,20,DOWN,314,18.0,true,3387,992,929,252,2143,0,1,1,DOWN,2.0,444.0,655.0,481.0,1195.0,1080.0,1661.0,4.33
7,MOOSE,Drag,7,1,7,854,32,3.0,20,DOWN,339,18.0,true,4839,3680,3632,255,904,0,1,1,DOWN,2.0,429.68,661.0,477.0,1239.0,1080.0,1661.0,4.33
7,MOOSE,Drag,8,1,8,854,32,6.0,70,DOWN,750,18.0,true,6175,3838,1280,440,1897,2,2,1,DOWN,2.0,444.0,660.0,485.31,1101.0,1080.0,1661.0,4.33
7,MOOSE,Drag,9,1,9,854,32,3.0,220,UP,558,18.0,true,13283,12032,1792,434,817,0,1,1,UP,2.0,377.0,669.0,792.0,1037.0,1080.0,1661.0,4.33
7,MOOSE,Drag,10,1,10,854,32,3.0,120,UP,298,18.0,true,7272,6607,976,613,52,0,1,1,UP,2.0,391.0,682.0,754.0,1089.0,1080.0,1661.0,4.33
7,MOOSE,Drag,11,2,1,854,32,6.0,120,UP,227,18.0,true,5319,3599,880,395,1325,2,1,1,UP,2.0,345.0,657.0,780.5,1013.0,1080.0,1661.0,4.33
7,MOOSE,Drag,12,2,2,854,32,6.0,170,DOWN,755,18.0,true,7171,5889,1680,568,714,1,1,1,UP,2.0,398.38,668.0,478.0,1171.0,1080.0,1661.0,4.33
7,MOOSE,Drag,13,2,3,854,32,3.0,20,UP,106,18.0,true,3838,2656,2608,186,996,-1,2,1,UP,2.0,421.0,693.0,551.0,1056.0,1080.0,1661.0,4.33
7,MOOSE,Drag,14,2,4,854,32,6.0,20,UP,387,18.0,true,3865,2031,1982,175,1659,0,2,1,UP,2.0,411.0,702.0,507.0,1092.0,1080.0,1661.0,4.33
7,MOOSE,Drag,15,2,5,854,32,3.0,170,DOWN,778,18.0,true,5285,3649,65,813,823,0,0,1,DOWN,2.0,381.39,677.0,462.0,1196.0,1080.0,1661.0,4.33
7,MOOSE,Drag,16,2,6,854,32,6.0,220,UP,437,18.0,true,7330,6209,801,265,856,0,1,1,UP,2.0,405.0,694.0,543.0,1117.0,1080.0,1661.0,4.33
7,MOOSE,Drag,17,2,7,854,32,3.0,70,DOWN,397,18.0,true,4650,3568,1615,400,682,0,1,1,DOWN,2.0,389.0,689.0,470.5,1167.0,1080.0,1661.0,4.33
7,MOOSE,Drag,18,2,8,854,32,3.0,120,DOWN,546,18.0,true,6836,5632,1888,472,732,0,2,1,DOWN,2.0,384.39,672.0,475.0,1117.0,1080.0,1661.0,4.33
7,MOOSE,Drag,19,2,9,854,32,6.0,70,UP,587,18.0,true,4488,3279,1856,368,841,1,1,1,UP,2.0,388.0,704.0,507.0,1089.0,1080.0,1661.0,4.33
7,MOOSE,Drag,20,2,10,854,32,3.0,220,DOWN,361,18.0,true,9169,8411,273,712,46,1,0,1,UP,2.0,392.0,677.0,463.0,1127.0,1080.0,1661.0,4.33
7,MOOSE,Drag,21,3,1,854,32,3.0,170,DOWN,722,18.0,true,7939,6448,2496,70,1421,0,2,1,DOWN,2.0,330.0,654.25,782.0,1115.0,1080.0,1661.0,4.33
7,MOOSE,Drag,22,3,2,854,32,6.0,170,DOWN,218,18.0,true,6488,5266,1122,381,841,-1,1,1,DOWN,2.0,389.0,653.0,460.22,1109.0,1080.0,1661.0,4.33
7,MOOSE,Drag,23,3,3,854,32,6.0,220,DOWN,235,18.0,true,7080,6143,1231,143,794,-1,1,1,DOWN,2.0,344.0,655.0,467.53,1135.01,1080.0,1661.0,4.33
7,MOOSE,Drag,24,3,4,854,32,6.0,120,UP,378,18.0,true,5721,4319,784,329,1073,0,1,1,UP,2.0,379.59,665.0,515.0,1090.0,1080.0,1661.0,4.33
7,MOOSE,Drag,25,3,5,854,32,6.0,70,DOWN,303,18.0,true,9359,7839,2304,651,869,-2,0,1,DOWN,2.0,377.0,655.0,546.0,1155.0,1080.0,1661.0,4.33
7,MOOSE,Drag,26,3,6,854,32,3.0,220,UP,564,18.0,true,8540,7023,1856,401,1116,0,1,1,DOWN,2.0,400.0,672.78,542.43,1076.0,1080.0,1661.0,4.33
7,MOOSE,Drag,27,3,7,854,32,3.0,120,DOWN,357,18.0,true,5645,5205,2192,398,42,0,2,1,UP,2.0,397.15,651.0,473.0,1091.0,1080.0,1661.0,4.33
7,MOOSE,Drag,28,3,8,854,32,3.0,70,UP,509,18.0,true,3642,3138,1527,442,62,0,0,1,DOWN,2.0,410.0,666.0,520.0,1040.0,1080.0,1661.0,4.33
7,MOOSE,Drag,29,3,9,854,32,3.0,20,UP,658,18.0,true,5101,4864,3680,163,74,0,2,1,DOWN,2.0,408.0,667.53,490.0,991.0,1080.0,1661.0,4.33
7,MOOSE,Drag,30,3,10,854,32,6.0,20,UP,542,18.0,true,2139,977,928,419,743,1,1,1,UP,2.0,444.0,689.0,534.0,987.0,1080.0,1661.0,4.33
7,MOOSE,Drag,31,4,1,854,32,6.0,20,DOWN,255,18.0,true,3987,2271,2222,212,1504,0,2,1,DOWN,2.0,319.0,690.0,794.5,991.0,1080.0,1661.0,4.33
7,MOOSE,Drag,32,4,2,854,32,3.0,120,UP,424,18.0,true,5965,4672,1904,414,879,0,2,1,UP,2.0,392.0,686.0,803.5,1047.0,1080.0,1661.0,4.33
7,MOOSE,Drag,33,4,3,854,32,6.0,220,UP,114,18.0,true,9410,8448,1824,149,813,1,1,1,UP,2.0,375.0,673.0,536.0,1079.0,1080.0,1661.0,4.33
7,MOOSE,Drag,34,4,4,854,32,3.0,70,DOWN,783,18.0,true,6248,5216,3530,125,907,0,2,1,DOWN,2.0,374.0,674.0,518.0,1173.0,1080.0,1661.0,4.33
7,MOOSE,Drag,35,4,5,854,32,3.0,170,UP,225,18.0,false,6321,5151,1520,211,959,2,1,1,UP,2.0,386.0,683.0,808.0,1061.0,1080.0,1661.0,4.33
7,MOOSE,Drag,36,4,6,854,32,6.0,120,DOWN,347,18.0,true,7442,6927,2944,317,198,0,2,1,DOWN,2.0,386.71,672.0,807.0,1104.0,1080.0,1661.0,4.33
7,MOOSE,Drag,37,4,7,854,32,6.0,170,UP,336,18.0,true,10935,9728,4720,403,804,-1,1,1,UP,2.0,372.0,690.0,807.0,1108.0,1080.0,1661.0,4.33
7,MOOSE,Drag,38,4,8,854,32,3.0,20,DOWN,380,18.0,true,3239,1825,1633,513,901,0,1,1,DOWN,2.0,399.0,732.0,476.0,1116.0,1080.0,1661.0,4.33
7,MOOSE,Drag,39,4,9,854,32,6.0,70,UP,426,18.0,true,5262,4225,1490,261,776,0,1,1,UP,2.0,402.0,750.0,509.0,1065.0,1080.0,1661.0,4.33
7,MOOSE,Drag,40,4,10,854,32,3.0,220,DOWN,239,18.0,true,8217,6513,1297,656,1048,0,0,1,DOWN,2.0,344.0,705.0,771.0,1165.0,1080.0,1661.0,4.33
7,MOOSE,Drag,41,5,1,854,32,6.0,120,UP,344,18.0,true,6084,3793,1177,561,1730,0,0,1,UP,2.0,330.0,737.0,772.0,1074.0,1080.0,1661.0,4.33
7,MOOSE,Drag,42,5,2,854,32,3.0,120,UP,664,18.0,true,8246,7728,3395,457,61,-1,1,1,UP,2.0,374.0,718.0,773.49,1075.0,1080.0,1661.0,4.33
7,MOOSE,Drag,43,5,3,854,32,3.0,70,UP,196,18.0,true,7573,4496,2239,465,2612,0,3,1,UP,2.0,389.0,735.0,775.0,1056.0,1080.0,1661.0,4.33
7,MOOSE,Drag,44,5,4,854,32,3.0,170,UP,111,18.0,true,5437,4143,879,352,942,0,0,1,UP,2.0,400.0,735.0,541.0,1086.0,1080.0,1661.0,4.33
7,MOOSE,Drag,45,5,5,854,32,6.0,220,DOWN,818,18.0,true,6588,5121,625,658,809,2,0,1,UP,2.0,358.58,701.0,450.0,1222.0,1080.0,1661.0,4.33
