ID, Device, Mode, ExpPart, Round, Trial, Block, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
15,MOOSE,Drag,1,1,1,1,1,854,32,6.0,200,UP,615,18.0,true,35054,12751,2192,880,21423,0,1,1,UP,2.0,182.0,473.0,961.0,1278.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,2,1,2,854,32,6.0,100,DOWN,176,18.0,false,5823,4624,577,90,1109,7,0,1,DOWN,1.0,416.0,497.0,526.0,1117.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,3,1,2,854,32,6.0,300,DOWN,687,18.0,true,8123,7216,945,42,865,0,1,1,DOWN,1.0,289.0,356.0,484.5,1354.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,4,1,3,854,32,3.0,200,DOWN,244,18.0,true,5928,5439,1177,39,450,0,1,1,DOWN,1.0,256.0,402.0,313.0,1335.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,5,1,4,854,32,3.0,50,DOWN,333,18.0,true,3360,2945,1808,106,309,0,2,1,DOWN,1.0,262.0,515.0,293.0,1050.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,6,1,5,854,32,6.0,100,DOWN,256,18.0,true,8527,8384,4628,44,99,0,2,1,DOWN,2.0,198.0,481.5,1051.0,1102.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,7,1,6,854,32,3.0,100,UP,354,18.0,true,5460,5274,1840,119,67,0,2,1,DOWN,1.0,224.0,379.0,454.0,958.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,8,1,7,854,32,6.0,50,UP,701,18.0,true,4745,3985,1233,256,504,1,2,1,DOWN,2.0,136.119,409.0,469.0,1072.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,9,1,8,854,32,3.0,300,UP,71,18.0,true,12265,11424,1120,363,478,-1,0,1,UP,1.0,163.0,516.0,504.0,1284.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,10,2,1,854,32,3.0,300,DOWN,410,18.0,true,8897,6928,1530,102,1867,-1,1,1,DOWN,2.0,92.0,326.0,789.0,1377.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,11,2,2,854,32,6.0,100,UP,70,18.0,true,3839,3620,624,176,43,0,1,1,UP,2.0,250.0,205.0,1059.0,1905.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,12,2,3,854,32,6.0,200,DOWN,603,18.0,true,5297,5148,1151,83,66,0,1,1,DOWN,1.0,165.0,378.0,358.0,1425.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,13,2,4,854,32,3.0,200,UP,157,18.0,true,6432,6131,1119,232,69,-1,1,1,UP,1.0,263.0,293.0,481.0,1288.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,14,2,5,854,32,3.0,50,UP,630,18.0,true,2953,2729,894,176,48,0,1,1,UP,1.0,199.0,433.0,324.0,1153.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,15,2,6,854,32,6.0,300,UP,265,18.0,true,9283,8176,1185,451,656,0,1,1,UP,1.0,238.0,322.0,465.0,1250.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,16,2,7,854,32,3.0,100,DOWN,396,18.0,true,4140,2775,841,416,949,-1,1,1,DOWN,1.0,280.469,426.0,372.0,1262.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,17,2,8,854,32,6.0,50,DOWN,787,18.0,true,2755,2489,928,199,67,-1,1,1,UP,2.0,241.468,499.0,1004.0,1127.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,18,3,1,854,32,6.0,200,UP,179,18.0,true,8145,6832,930,77,1236,0,1,1,UP,2.0,203.0,283.0,1079.0,1919.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,19,3,2,854,32,3.0,200,UP,39,18.0,true,7022,6160,897,190,672,1,1,1,UP,2.0,365.362,300.0,1079.5,1919.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,20,3,3,854,32,6.0,300,DOWN,779,18.0,true,8959,8353,1147,43,563,0,1,1,DOWN,2.0,373.436,356.0,1069.277,1919.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,21,3,4,854,32,6.0,50,UP,93,18.0,true,2552,1728,417,319,505,0,1,1,DOWN,1.0,351.0,331.0,416.0,845.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,22,3,5,854,32,3.0,50,UP,399,18.0,true,3130,2766,1408,24,340,0,1,1,DOWN,1.0,351.0,363.0,432.0,978.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,23,3,6,854,32,6.0,100,DOWN,374,18.0,true,3709,2992,865,219,498,0,1,1,DOWN,1.0,334.0,381.0,392.0,997.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,24,3,7,854,32,3.0,300,DOWN,723,18.0,true,8422,8017,1344,69,336,0,1,1,UP,1.0,354.704,368.0,419.0,1050.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,25,3,8,854,32,3.0,100,DOWN,119,18.0,true,4059,3328,959,23,708,-1,1,1,DOWN,1.0,360.0,429.0,387.0,1046.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,26,4,1,854,32,3.0,100,UP,234,18.0,true,4632,3665,1329,17,950,-1,0,1,DOWN,1.0,138.0,334.0,493.0,863.5,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,27,4,2,854,32,6.0,50,DOWN,386,18.0,true,3036,2095,959,154,787,1,1,1,UP,1.0,395.0,461.0,444.0,1177.5,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,28,4,3,854,32,6.0,300,UP,118,18.0,true,9134,8257,1041,65,812,1,1,1,UP,2.0,381.0,326.0,784.0,971.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,29,4,4,854,32,3.0,300,UP,225,18.0,true,10040,9521,1313,27,492,0,1,1,DOWN,1.0,334.0,320.0,496.0,852.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,30,4,5,854,32,6.0,100,UP,197,18.0,true,4152,3951,976,158,43,0,1,1,UP,1.0,380.0,341.0,476.0,851.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,31,4,6,854,32,3.0,50,DOWN,216,18.0,true,2299,1648,895,185,466,-1,1,1,DOWN,1.0,377.492,385.0,434.0,970.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,32,4,7,854,32,3.0,200,DOWN,572,18.0,true,6161,5536,1120,143,482,0,1,1,UP,1.0,374.0,382.0,477.0,1025.0,1080.0,1661.0,4.331,
15,MOOSE,Drag,1,1,33,4,8,854,32,6.0,200,DOWN,562,18.0,true,4907,3888,687,357,662,2,1,1,DOWN,2.0,389.0,375.0,756.0,1045.0,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,1,1,1,854,32,3.0,200,UP,482,18.0,true,12586,6624,2704,410,5552,-1,1,1,UP,1.0,202.0,398.0,1069.0,1080.0,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,2,1,2,854,32,6.0,300,DOWN,451,18.0,true,5050,4080,1264,176,794,1,1,1,DOWN,1.0,376.0,415.0,414.664,1353.483,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,3,1,3,854,32,6.0,100,DOWN,318,18.0,true,3536,2735,607,112,689,-1,1,1,DOWN,1.0,374.0,597.0,414.0,1074.589,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,4,1,4,854,32,6.0,200,UP,537,18.0,true,5050,4321,864,134,595,-1,1,1,DOWN,1.0,363.0,537.0,420.32,1223.0,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,5,1,5,854,32,3.0,50,DOWN,252,18.0,true,6626,5616,2416,273,737,-1,1,2,DOWN,1.0,361.452,407.0,412.0,1027.0,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,6,1,6,854,32,3.0,300,DOWN,504,18.0,true,7607,6929,4048,108,570,0,1,1,DOWN,1.0,357.0,424.5,426.0,1076.0,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,7,1,7,854,32,3.0,100,UP,293,18.0,true,5073,3762,0,1281,30,-1,0,1,UP,1.0,358.0,495.0,416.0,1080.0,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,8,1,8,854,32,6.0,50,UP,533,18.0,true,5364,4191,815,600,573,-1,1,1,DOWN,1.0,382.0,587.5,412.641,1025.0,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,9,2,1,854,32,3.0,300,UP,526,18.0,true,6975,3103,638,58,3814,0,1,1,UP,1.0,329.937,403.5,463.0,1021.5,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,10,2,2,854,32,3.0,100,DOWN,809,18.0,true,2953,2303,1024,42,608,0,1,1,DOWN,1.0,362.0,397.0,446.0,851.5,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,11,2,3,854,32,6.0,200,DOWN,418,18.0,true,6651,5919,2095,275,457,-1,2,1,UP,1.0,401.0,397.0,472.453,1038.0,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,12,2,4,854,32,6.0,50,DOWN,757,18.0,true,3745,3169,1136,152,424,-2,1,2,DOWN,1.0,425.0,372.0,499.522,910.0,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,13,2,5,854,32,6.0,300,UP,392,18.0,true,6743,6128,1360,195,420,-1,1,1,DOWN,2.0,404.512,403.5,804.0,1082.0,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,14,2,6,854,32,3.0,50,UP,340,18.0,true,5473,4624,1329,424,425,0,2,2,DOWN,2.0,400.0,441.5,759.0,1064.0,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,15,2,7,854,32,6.0,100,UP,169,18.0,true,3521,2857,841,247,417,-2,1,1,DOWN,1.0,384.0,411.0,433.0,1018.0,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,16,2,8,854,32,3.0,200,DOWN,270,18.0,true,5114,4641,2081,14,459,1,1,1,DOWN,1.0,394.0,481.0,427.0,979.0,1080.0,1661.0,4.331,
15,MOOSE,Rubbing,1,1,17,3,1,854,32,3.0,200,UP,309,18.0,true,8211,6688,2768,378,1145,0,1,1,DOWN,1.0,352.0,443.0,422.0,1084.0,1080.0,1661.0,4.331,
