ID, Device, Mode, Trial Number, Block Number, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
2,MOOSE,iOS,1,1,1,854,32,6.0,300,UP,34,18.0,true,13210,5872,2662,275,7063,-1,3,1,UP,1.0,146.0,640.0,513.0,1131.0,1080.0,1661.0,4.331
2,MOOSE,iOS,2,1,2,854,32,3.0,200,UP,254,18.0,true,6582,5216,2127,425,941,0,1,2,DOWN,1.0,308.495,469.0,516.0,990.0,1080.0,1661.0,4.331
2,MOOSE,iOS,3,1,3,854,32,6.0,50,DOWN,119,18.0,true,4336,3361,2031,247,728,-1,2,1,DOWN,1.0,377.0,567.0,484.0,933.0,1080.0,1661.0,4.331
2,MOOSE,iOS,4,1,4,854,32,3.0,50,DOWN,760,18.0,true,3709,3229,2080,413,67,0,2,1,UP,1.0,407.0,495.297,498.0,886.0,1080.0,1661.0,4.331
2,MOOSE,iOS,5,1,5,854,32,6.0,100,UP,264,18.0,true,4485,3744,1436,47,694,0,1,1,UP,1.0,339.449,630.0,515.0,1025.0,1080.0,1661.0,4.331
2,MOOSE,iOS,6,1,6,854,32,6.0,200,DOWN,630,18.0,true,5464,4800,3370,9,655,0,3,1,DOWN,1.0,342.0,477.0,520.0,915.0,1080.0,1661.0,4.331
2,MOOSE,iOS,7,1,7,854,32,3.0,300,UP,153,18.0,true,8021,6416,2784,130,1475,0,1,2,UP,1.0,413.0,435.0,562.0,994.0,1080.0,1661.0,4.331
2,MOOSE,iOS,8,1,8,854,32,3.0,100,DOWN,263,18.0,true,3361,2672,1561,112,577,0,2,1,DOWN,1.0,419.0,485.0,531.0,899.0,1080.0,1661.0,4.331
2,MOOSE,iOS,9,2,1,854,32,6.0,300,DOWN,326,18.0,true,5991,4943,861,211,837,1,1,1,DOWN,1.0,265.0,596.0,533.0,1002.0,1080.0,1661.0,4.331
2,MOOSE,iOS,10,2,2,854,32,3.0,50,UP,509,18.0,true,3705,3381,1998,251,73,0,2,1,DOWN,1.0,411.0,672.0,501.0,1049.0,1080.0,1661.0,4.331
2,MOOSE,iOS,11,2,3,854,32,3.0,300,DOWN,574,18.0,true,4522,3312,768,429,781,0,2,2,UP,1.0,410.0,556.0,557.0,1038.0,1080.0,1661.0,4.331
2,MOOSE,iOS,12,2,4,854,32,6.0,200,UP,398,18.0,true,6178,5457,1949,120,601,0,2,2,UP,1.0,390.0,585.0,597.0,1074.0,1080.0,1661.0,4.331
