ID, Device, Mode, Trial Number, Block Number, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
5,MOOSE,Drag,1,1,1,854,32,6.0,200,DOWN,483,18.0,true,8598,6094,701,374,2130,1,1,1,UP,2.0,348.996,602.0,868.0,1047.0,1080.0,1661.0,4.331
5,MOOSE,Drag,2,1,2,854,32,6.0,15,DOWN,256,18.0,true,2617,1394,1394,281,942,1,1,1,DOWN,2.0,387.0,619.0,417.0,984.0,1080.0,1661.0,4.331
5,MOOSE,Drag,3,1,3,854,32,6.0,100,DOWN,243,18.0,true,4962,4000,2066,281,681,0,2,1,DOWN,2.0,367.0,615.0,866.0,989.0,1080.0,1661.0,4.331
5,MOOSE,Drag,4,1,4,854,32,3.0,50,DOWN,644,18.0,true,2088,849,-1,598,641,0,0,1,DOWN,2.0,385.0,630.0,448.504,988.0,1080.0,1661.0,4.331
5,MOOSE,Drag,5,1,5,854,32,3.0,200,UP,180,18.0,true,6322,5232,1487,275,815,0,1,1,UP,2.0,383.807,627.0,861.194,1001.0,1080.0,1661.0,4.331
5,MOOSE,Drag,6,1,6,854,32,6.0,50,UP,375,18.0,true,2422,1425,607,154,843,0,1,1,UP,2.0,392.556,676.0,487.0,1017.0,1080.0,1661.0,4.331
5,MOOSE,Drag,7,1,7,854,32,6.0,300,UP,52,18.0,true,7529,6592,638,376,561,0,1,1,UP,2.0,391.0,640.0,857.0,994.0,1080.0,1661.0,4.331
5,MOOSE,Drag,8,1,8,854,32,3.0,15,UP,632,18.0,true,2289,1170,1170,356,763,0,0,1,UP,2.0,392.0,663.0,482.0,1018.0,1080.0,1661.0,4.331
5,MOOSE,Drag,9,1,9,854,32,3.0,300,DOWN,528,18.0,true,8893,8498,2033,334,61,0,2,1,UP,2.0,374.451,630.0,468.0,1058.0,1080.0,1661.0,4.331
5,MOOSE,Drag,10,1,10,854,32,3.0,100,UP,361,18.0,true,5819,3934,1998,413,1472,0,1,1,UP,2.0,394.0,644.0,505.0,978.5,1080.0,1661.0,4.331
5,MOOSE,Drag,11,2,1,854,32,6.0,50,DOWN,72,18.0,true,2547,1153,0,495,899,0,0,1,DOWN,2.0,338.0,639.0,858.0,993.0,1080.0,1661.0,4.331
5,MOOSE,Drag,12,2,2,854,32,3.0,300,UP,321,18.0,true,9692,8528,1103,374,790,0,1,1,UP,2.0,397.0,630.0,866.5,998.0,1080.0,1661.0,4.331
5,MOOSE,Drag,13,2,3,854,32,6.0,300,DOWN,584,18.0,true,7550,6913,1349,348,289,1,1,1,DOWN,2.0,349.0,621.0,482.0,1061.0,1080.0,1661.0,4.331
5,MOOSE,Drag,14,2,4,854,32,3.0,100,DOWN,650,18.0,true,4274,3280,865,312,682,0,1,1,DOWN,2.0,363.2,626.0,460.0,1031.0,1080.0,1661.0,4.331
5,MOOSE,Drag,15,2,5,854,32,3.0,50,UP,512,18.0,true,3023,1902,895,414,707,0,1,1,UP,2.0,388.976,650.0,517.0,1007.0,1080.0,1661.0,4.331
5,MOOSE,Drag,16,2,6,854,32,6.0,100,UP,29,18.0,true,3018,1968,78,512,538,0,0,1,UP,2.0,394.494,668.0,519.0,1019.0,1080.0,1661.0,4.331
5,MOOSE,Drag,17,2,7,854,32,3.0,200,DOWN,328,18.0,true,5013,4017,609,376,620,0,1,1,DOWN,2.0,368.467,627.0,497.0,1059.0,1080.0,1661.0,4.331
5,MOOSE,Drag,18,2,8,854,32,3.0,15,DOWN,473,18.0,true,3221,2608,2608,287,326,0,1,1,DOWN,2.0,389.0,629.0,487.448,912.0,1080.0,1661.0,4.331
